Date,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,close,high,low,volume,vwap,returns,y_A_0,y_A_1,y_A_2,y_A_3,y_A_4,y_A_5,y_A_6,y_A_7,y_A_8,y_A_9
,,,,,,,,,,,,,,,,,3.339796e-11,2.9659182e-06,3.4729537e-36,5.6319154e-06,7.618487e-28,0.0054518846,2.0168981e-08,0.44994077,2.0382154e-18,0.5445987
,,,,,,,,,,,,,,,,,3.0896025e-11,2.7806375e-06,3.9702264e-36,5.356206e-06,8.215189e-28,0.0045525366,1.938112e-08,0.44390056,2.2706257e-18,0.55153877
,,,,,,,,,,,,,,,,,4.6683008e-11,4.118915e-06,1.9348833e-36,7.823897e-06,4.15737e-28,0.012896284,2.5038556e-08,0.4308429,1.0147244e-18,0.5562488
,,,,,,,,,,,,,,,,,6.241601e-11,7.4019244e-06,1.4320945e-36,1.3650067e-05,2.9482475e-28,0.030011883,3.1742147e-08,0.43054718,5.3933256e-19,0.53941983
,,,,,,,,,,,,,,,,,2.1964276e-11,1.8802197e-06,6.495496e-36,3.626445e-06,1.3680648e-27,0.0018898222,1.4764095e-08,0.47104362,4.622496e-18,0.52706105
,,,,,,,,,,,,,,,,,9.245869e-18,9.1868735e-11,0.0,1.3817512e-10,1.7098929e-37,0.032599695,2.6451557e-13,0.42905903,1.9343001e-20,0.5383413
,,,,,,,,,,,,,,,,,9.660171e-18,9.483249e-11,0.0,1.4178621e-10,1.6545683e-37,0.034708142,2.6962303e-13,0.4297895,1.8557469e-20,0.5355023
,,,,,,,,,,,,,,,,,1.0637772e-17,1.236486e-10,0.0,1.8113444e-10,1.304428e-37,0.045789436,2.7434692e-13,0.40649703,1.3695095e-20,0.5477135
,,,,,,,,,,,,,,,,,9.041347e-18,9.531803e-11,0.0,1.4392634e-10,1.8153674e-37,0.031501357,2.6992273e-13,0.42755294,2.0099135e-20,0.54094577
,,,,,,,,,,,,,,,,,1.1655946e-17,1.437073e-10,0.0,2.058669e-10,1.135052e-37,0.054892726,2.844459e-13,0.39680552,1.14285204e-20,0.54830176
,,,,,,,,,,,,,,,,,1.09468015e-17,1.1840512e-10,0.0,1.7007916e-10,1.2712146e-37,0.04617768,2.760974e-13,0.40804258,1.3586075e-20,0.54577976
,,,,,,,,,,,,,,,,,1.6824271e-15,1.2934897e-15,0.0,1.0909574e-15,0.0,0.3038542,1.3452364e-16,0.38608938,3.4429523e-21,0.31005645
,,,,,,,,,,,,,,,,,1.7149669e-15,1.2095978e-15,0.0,1.0188633e-15,0.0,0.28933275,1.317747e-16,0.39122015,3.6866353e-21,0.3194471
,,,,,,,,,,,,,,,,,1.7618772e-15,1.4776733e-15,0.0,1.1774121e-15,0.0,0.32596055,1.4746432e-16,0.37875888,3.0841352e-21,0.29528058
,,,,,,,,,,,,,,,,,1.6802402e-15,1.58737e-15,0.0,1.283649e-15,0.0,0.34479165,1.4921117e-16,0.3730021,2.8446665e-21,0.28220624
,,,,,,,,,,,,,,,,,1.560003e-15,1.7625772e-15,0.0,1.4565642e-15,0.0,0.37068588,1.497872e-16,0.3625288,2.5156923e-21,0.26678532
