TSLA,GOOG,META,AAPL,MSFT,AMZN,NVDA,V,ORCL,CSCO
113623500,53660381,70424200,543706800,52839700,36168000,23141200,11380800,25316900,32119900
82453500,50564822,91934600,399380800,84716500,45930000,16860800,10400800,20282300,19999500
81595500,77678069,79317000,456862000,64099900,58928000,26816800,10474800,39152100,29541300
233919000,64155573,63972400,404541200,42026600,47018000,22757200,14966400,63316300,40090900
201025500,174463490,115508400,699302800,102904900,106046000,35603600,57707200,53470400,37420400
122601000,71362485,75177000,762106800,39826100,37698000,27124400,19551600,26293100,26910300
94101000,59694916,136716100,364344400,40685000,40672000,22973200,15296400,18958300,29762400
123790500,66207234,87879700,316957200,28907500,40172000,23315600,10594800,19653100,26563800
99216000,50584897,98220100,237221600,28504000,39798000,14881600,9326400,15621000,54577900
88746000,50540732,81410500,228040400,55348000,33150000,15192000,7258400,14068700,82455500
133870500,69154239,100095000,260156400,39839500,32472000,22664000,9561600,25132600,40335700
116338500,67644602,98114000,353883600,36718700,47928000,22697600,9384800,16300300,30137600
311631000,60036190,62834000,289184000,46946800,44348000,16203600,8712400,19451600,40084700
357247500,84997401,82045000,322753200,38703800,53496000,43676800,19646000,15480100,38161100
216210000,54523605,74447000,258868400,33008100,36300000,24622800,9365600,15054900,33607800
172284000,51937949,57204000,312292400,35069300,41664000,16995200,11785200,14150100,29575900
206358000,78039419,136081000,290917200,41017600,63324000,29071200,16039600,23780400,31865700
229747500,106449509,147297000,301725200,35878600,64948000,27586000,13448000,19656000,45438300
133258500,90550137,99774000,278602800,42875100,51102000,22348400,10865600,21580700,38817500
124666500,56567236,58428000,267738800,30033300,43262000,21370400,11915200,14018800,27773800
116544000,49930453,68781000,261898000,27757900,38782000,16662800,8922400,12882400,29103100
164677500,63914673,81167000,320073600,47097800,45222000,20882000,10567600,20677000,26201200
123081000,80604999,64678000,251101200,35111600,43414000,21007200,10382800,16398300,40483000
100575000,170902191,71522000,253593200,31359200,52968000,21332400,12605200,22821900,69366300
88962000,464390148,88260000,290542000,41811700,119396000,25506800,14387200,17472700,44486600
172981500,145675990,58235000,398106800,27433500,50446000,19500800,11526000,16568800,34594600
170800500,88675135,83204000,534063600,40438500,78710000,17945200,12202800,19741200,64553000
199806000,106927293,57207000,313723200,58600500,56364000,25221600,7476400,24610300,49021400
162385500,83997668,46775000,384764800,53209700,117694000,23643600,8885600,26573600,50130300
113932500,81524432,45085000,337792000,113494000,240736000,33049200,11014400,19820600,34253400
117625500,46521724,73472000,550440800,38383600,72716000,39402400,6854400,17632800,24072100
211675500,64440637,102143000,635807200,31702200,43708000,38795200,8599600,15954700,30074200
